house_id,land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,large_living_room,parking_space,front_garden,swimming_pool,distance_to_school,wall_fence,house_age,water_front,distance_to_supermarket,crime_rate_index,room_size,property_value
2805,144 sqm,133 sqm,2,2,No,Yes,No,No,4.6km,No,10 Years,No,2.7 km,2.17,extra_large,92487
2806,156 sqm,135 sqm,3,3,Yes,Yes,No,Yes,2.6km,Yes,14 Years,No,4.7 km,1.10,large,152127
2807,591 sqm,512 sqm,7,7,Yes,Yes,Yes,Yes,6.1km,Yes,3 Years,No,4.3 km,2.66,large,508573
2808,251 sqm,236 sqm,5,4,Yes,Yes,Yes,Yes,3.8km,Yes,12 Years,No,4.7 km,4.89,extra_large,203550
2809,154 sqm,150 sqm,3,1,Yes,No,No,No,6.4km,Yes,2 Years,No,6.2 km,2.83,large,111144
2810,277 sqm,247 sqm,5,2,Yes,Yes,Yes,Yes,4.1km,No,15 Years,No,1.2 km,3.57,extra_large,206205
2811,263 sqm,243 sqm,4,3,Yes,Yes,Yes,No,6.6km,No,15 Years,No,3.9 km,0.56,extra_large,183052
2812,351 sqm,312 sqm,5,2,Yes,Yes,Yes,Yes,6.5km,No,10 Years,No,4.1 km,1.25,large,267567
2813,332 sqm,298 sqm,5,4,Yes,Yes,Yes,Yes,5.6km,Yes,11 Years,No,5.9 km,3.04,medium,272443
2814,552 sqm,552 sqm,8,5,Yes,Yes,Yes,Yes,3.9km,Yes,20 Years,No,3.9 km,3.14,extra_large,423546
2815,163 sqm,162 sqm,3,3,Yes,No,No,No,1.3km,Yes,21 Years,No,0.5 km,2.15,medium,129875
2816,174 sqm,161 sqm,3,2,Yes,Yes,No,No,0.7km,Yes,1 Years,No,3.6 km,0.27,extra_large,156074
2817,255 sqm,226 sqm,4,5,Yes,Yes,Yes,Yes,0.7km,Yes,6 Years,No,5.8 km,3.92,extra_large,231948
2818,296 sqm,257 sqm,5,3,Yes,Yes,Yes,Yes,2.1km,Yes,12 Years,No,1.5 km,5.71,medium,241486
2819,229 sqm,227 sqm,4,5,Yes,No,Yes,No,0.9km,Yes,14 Years,No,4.9 km,4.22,medium,172652
2820,163 sqm,143 sqm,3,1,No,Yes,No,No,3.4km,No,18 Years,No,2.5 km,3.39,extra_large,101574
2821,191 sqm,179 sqm,3,1,No,No,No,No,0.2km,No,14 Years,No,2.6 km,0.58,large,151097
2822,255 sqm,224 sqm,5,3,Yes,Yes,Yes,Yes,4.2km,Yes,20 Years,Yes,3.2 km,3.86,large,246763
2823,304 sqm,270 sqm,5,2,Yes,Yes,Yes,No,0.5km,Yes,19 Years,Yes,6.6 km,1.71,extra_large,273321
2824,189 sqm,175 sqm,2,1,No,Yes,No,No,2.3km,No,14 Years,No,5.1 km,0.70,extra_large,135280
2825,241 sqm,218 sqm,4,5,Yes,Yes,Yes,No,0.1km,Yes,15 Years,No,2.4 km,4.02,extra_large,199570
2826,204 sqm,191 sqm,4,4,Yes,Yes,Yes,Yes,2.8km,Yes,9 Years,No,3.5 km,0.80,extra_large,194488
2827,190 sqm,183 sqm,4,4,Yes,Yes,Yes,Yes,3.2km,Yes,13 Years,No,5.1 km,4.21,medium,164925
2828,231 sqm,219 sqm,4,4,Yes,Yes,Yes,Yes,3.2km,No,22 Years,No,4.3 km,0.95,extra_large,179475
2829,170 sqm,152 sqm,2,2,No,Yes,No,Yes,2.3km,No,14 Years,No,4.9 km,0.56,medium,138486
2830,270 sqm,268 sqm,5,2,Yes,Yes,Yes,Yes,1.7km,Yes,2 Years,No,1.5 km,0.07,large,259216
2831,168 sqm,158 sqm,2,2,Yes,Yes,No,No,5.3km,No,13 Years,No,2.3 km,0.09,extra_large,117533
2832,165 sqm,150 sqm,3,4,Yes,No,No,Yes,0.3km,No,7 Years,No,0.9 km,2.40,medium,150640
2833,304 sqm,288 sqm,4,3,Yes,Yes,No,Yes,0.1km,Yes,15 Years,No,3.7 km,5.83,extra_large,247889
2834,288 sqm,288 sqm,5,3,Yes,Yes,Yes,Yes,1.9km,Yes,7 Years,No,0.5 km,3.98,medium,241531
2835,215 sqm,196 sqm,4,3,Yes,Yes,Yes,No,4.4km,Yes,21 Years,No,3.4 km,1.53,medium,175149
2836,283 sqm,270 sqm,4,3,Yes,Yes,Yes,Yes,0.3km,Yes,12 Years,No,0.7 km,1.71,medium,271032
2837,320 sqm,293 sqm,5,5,Yes,Yes,Yes,Yes,4.5km,Yes,19 Years,No,2.2 km,2.10,medium,260696
2838,106 sqm,103 sqm,1,2,No,No,No,No,2.2km,No,13 Years,No,4.3 km,4.26,small,63450
2839,171 sqm,165 sqm,3,3,Yes,Yes,No,No,1.5km,Yes,19 Years,No,1.2 km,1.23,large,148513
2840,263 sqm,227 sqm,4,2,Yes,Yes,Yes,Yes,1.3km,Yes,5 Years,No,2.8 km,4.41,medium,230242
2841,223 sqm,216 sqm,4,2,Yes,Yes,Yes,Yes,4.8km,Yes,15 Years,No,3.3 km,1.80,medium,194059
2842,113 sqm,97 sqm,1,2,No,No,No,No,4.2km,No,8 Years,No,3.1 km,0.98,large,81653
2843,136 sqm,128 sqm,2,3,No,No,No,No,6.4km,No,17 Years,No,3.1 km,2.27,medium,81560
2844,125 sqm,121 sqm,1,1,No,No,No,No,3.8km,Yes,10 Years,No,6.5 km,2.78,large,86302
2845,144 sqm,126 sqm,1,2,No,Yes,No,No,4.8km,No,5 Years,No,3.6 km,2.70,large,98269
2846,127 sqm,118 sqm,2,2,Yes,Yes,No,Yes,3.5km,No,20 Years,No,1.6 km,4.12,medium,100412
2847,182 sqm,158 sqm,3,1,Yes,Yes,Yes,No,2.7km,Yes,8 Years,No,1.7 km,3.79,medium,158721
2848,253 sqm,228 sqm,4,5,Yes,Yes,Yes,Yes,2.7km,No,22 Years,No,2.4 km,2.38,large,205993
2849,219 sqm,219 sqm,3,1,Yes,No,Yes,No,4.1km,Yes,20 Years,No,5.3 km,2.81,large,162263
2850,234 sqm,223 sqm,4,2,Yes,Yes,Yes,No,1.2km,No,22 Years,Yes,4.8 km,4.65,extra_large,170784
2851,225 sqm,193 sqm,3,1,Yes,Yes,No,No,5.8km,Yes,20 Years,No,4.6 km,1.15,extra_large,164745
2852,190 sqm,187 sqm,4,4,Yes,No,Yes,Yes,0.7km,Yes,13 Years,No,4.9 km,5.45,medium,165189
2853,193 sqm,168 sqm,4,4,Yes,Yes,Yes,Yes,1.2km,Yes,12 Years,No,0.6 km,1.79,extra_large,189049
2854,211 sqm,189 sqm,3,2,Yes,Yes,Yes,No,1.5km,Yes,13 Years,No,2.5 km,1.35,large,189208
2855,375 sqm,341 sqm,6,6,Yes,Yes,Yes,Yes,0.5km,Yes,14 Years,No,1.1 km,1.51,large,329089
2856,146 sqm,144 sqm,2,1,No,No,No,No,4.3km,No,10 Years,Yes,1.1 km,1.81,extra_large,116200
2857,314 sqm,284 sqm,5,5,No,Yes,Yes,No,1.3km,Yes,19 Years,No,5.7 km,2.22,extra_large,237730
2858,211 sqm,191 sqm,3,2,Yes,Yes,No,No,0.1km,No,12 Years,No,4.5 km,5.10,medium,148234
2859,221 sqm,196 sqm,4,3,Yes,Yes,Yes,Yes,1.6km,Yes,18 Years,No,2.7 km,4.86,large,190806
2860,327 sqm,291 sqm,5,3,Yes,Yes,Yes,Yes,5.7km,No,19 Years,No,0.8 km,1.56,large,257458
2861,139 sqm,125 sqm,2,3,No,Yes,Yes,No,6.6km,Yes,13 Years,No,2.8 km,4.98,extra_large,100470
2862,296 sqm,259 sqm,4,4,Yes,Yes,Yes,Yes,1.2km,No,18 Years,No,3.6 km,1.44,extra_large,226976
2863,221 sqm,201 sqm,4,2,Yes,Yes,Yes,Yes,2.1km,No,3 Years,No,0.7 km,0.28,large,206765
2864,246 sqm,228 sqm,4,5,Yes,Yes,Yes,No,0.2km,Yes,22 Years,No,3.9 km,3.62,extra_large,194351
2865,220 sqm,203 sqm,4,5,Yes,Yes,No,No,5.4km,Yes,8 Years,No,3.1 km,4.11,medium,162393
2866,344 sqm,298 sqm,5,5,Yes,Yes,Yes,Yes,6.2km,Yes,22 Years,No,6.5 km,1.46,large,283385
2867,366 sqm,362 sqm,6,5,Yes,Yes,Yes,Yes,1.5km,Yes,1 Years,No,3.1 km,1.31,extra_large,321920
2868,221 sqm,201 sqm,3,3,No,No,No,No,4.9km,No,16 Years,No,2.4 km,2.12,medium,138465
2869,230 sqm,197 sqm,3,1,Yes,Yes,No,No,1.6km,Yes,17 Years,No,4.5 km,2.71,medium,177903
2870,191 sqm,191 sqm,4,2,Yes,Yes,No,Yes,0.9km,Yes,17 Years,No,3.9 km,2.40,large,179701
2871,532 sqm,487 sqm,7,7,Yes,Yes,Yes,Yes,6.9km,Yes,20 Years,No,6.6 km,4.54,large,405173
2872,165 sqm,143 sqm,3,2,Yes,No,No,Yes,5.6km,Yes,2 Years,No,3.1 km,3.11,extra_large,135981
2873,401 sqm,345 sqm,6,7,Yes,Yes,Yes,Yes,6.3km,Yes,18 Years,Yes,1.1 km,5.47,extra_large,357313
2874,209 sqm,209 sqm,4,4,Yes,No,Yes,Yes,3.3km,Yes,14 Years,No,1.2 km,5.99,large,174456
2875,248 sqm,241 sqm,5,3,Yes,Yes,No,Yes,2.7km,Yes,3 Years,Yes,6.6 km,1.64,large,254164
2876,190 sqm,182 sqm,3,3,Yes,No,No,Yes,5.8km,No,20 Years,No,2.7 km,0.32,large,152169
2877,237 sqm,213 sqm,5,4,Yes,Yes,Yes,Yes,3.1km,Yes,18 Years,No,1.1 km,2.66,medium,205551
2878,219 sqm,211 sqm,3,4,Yes,Yes,No,No,2.8km,No,17 Years,No,2.2 km,1.71,large,163296
2879,254 sqm,219 sqm,4,5,Yes,Yes,Yes,Yes,6.7km,Yes,12 Years,No,0.6 km,1.63,large,235428
2880,154 sqm,145 sqm,2,3,No,Yes,No,No,5.9km,No,7 Years,No,0.8 km,5.09,extra_large,93487
2881,255 sqm,225 sqm,4,3,Yes,Yes,Yes,Yes,3.9km,No,20 Years,No,4.1 km,5.03,medium,186622
2882,288 sqm,249 sqm,4,5,No,Yes,Yes,Yes,6.8km,Yes,10 Years,No,6.7 km,2.68,medium,239737
2883,188 sqm,173 sqm,2,3,No,Yes,No,No,5.4km,No,14 Years,No,3.8 km,5.76,large,111920
2884,129 sqm,119 sqm,2,3,Yes,No,No,Yes,0.7km,Yes,1 Years,No,2.4 km,0.49,extra_large,131642
2885,201 sqm,190 sqm,3,4,Yes,Yes,No,Yes,1.4km,Yes,14 Years,No,5.6 km,0.71,medium,186630
2886,167 sqm,143 sqm,3,4,Yes,Yes,Yes,No,3.1km,Yes,6 Years,No,1.1 km,3.23,large,153728
2887,187 sqm,166 sqm,3,1,No,Yes,No,No,0.8km,No,3 Years,No,2.1 km,1.16,extra_large,139222
2888,397 sqm,352 sqm,6,6,Yes,Yes,Yes,Yes,4.5km,Yes,3 Years,No,2.8 km,3.03,large,344437
2889,186 sqm,182 sqm,3,4,Yes,No,No,No,0.8km,Yes,11 Years,No,3.3 km,3.92,extra_large,144472
2890,191 sqm,165 sqm,4,4,Yes,Yes,Yes,No,0.7km,No,11 Years,No,0.1 km,2.94,extra_large,155935
2891,336 sqm,292 sqm,5,4,No,Yes,Yes,Yes,1.8km,Yes,19 Years,No,6.5 km,3.89,large,264104
2892,210 sqm,182 sqm,4,4,Yes,Yes,Yes,Yes,3.7km,Yes,13 Years,No,0.4 km,2.37,extra_large,190446
2893,207 sqm,202 sqm,3,1,Yes,No,Yes,No,2.1km,No,1 Years,No,0.2 km,4.40,extra_large,146771
2894,263 sqm,224 sqm,4,4,Yes,Yes,Yes,Yes,2.9km,Yes,19 Years,No,3.1 km,5.11,large,226980
2895,215 sqm,210 sqm,3,1,Yes,No,Yes,No,5.5km,No,9 Years,No,0.9 km,5.62,medium,135463
2896,292 sqm,264 sqm,5,4,Yes,Yes,Yes,Yes,5.3km,Yes,4 Years,No,2.5 km,4.76,extra_large,238338
2897,220 sqm,198 sqm,4,2,No,Yes,No,Yes,3.7km,Yes,18 Years,No,5.7 km,3.96,extra_large,171828
2898,353 sqm,332 sqm,5,2,Yes,Yes,Yes,No,1.5km,Yes,22 Years,No,6.5 km,4.94,medium,267040
2899,131 sqm,123 sqm,2,3,No,Yes,No,No,0.6km,No,16 Years,No,3.7 km,4.50,small,89144
2900,356 sqm,324 sqm,5,5,Yes,Yes,Yes,Yes,6.5km,Yes,9 Years,No,3.4 km,3.43,medium,291963
2901,274 sqm,237 sqm,4,3,Yes,Yes,Yes,Yes,6.3km,Yes,8 Years,No,0.7 km,3.65,medium,242912
2902,235 sqm,224 sqm,4,2,Yes,Yes,Yes,Yes,2.1km,Yes,16 Years,No,6.5 km,3.69,large,205479
2903,341 sqm,311 sqm,5,5,Yes,Yes,Yes,Yes,4.3km,Yes,15 Years,No,2.4 km,0.56,extra_large,286901
2904,305 sqm,263 sqm,4,3,Yes,Yes,Yes,Yes,2.7km,No,19 Years,No,3.2 km,4.71,medium,218790
2905,128 sqm,128 sqm,1,1,No,No,No,No,0.4km,No,13 Years,No,3.7 km,4.42,medium,87905
2906,188 sqm,175 sqm,3,2,Yes,Yes,No,Yes,1.8km,No,18 Years,No,2.4 km,1.28,large,159239
2907,155 sqm,154 sqm,3,3,Yes,No,No,No,2.5km,No,5 Years,No,1.5 km,0.17,extra_large,119474
2908,265 sqm,237 sqm,5,5,Yes,Yes,Yes,Yes,6.9km,Yes,4 Years,No,3.9 km,2.99,large,235419
2909,257 sqm,222 sqm,4,4,No,Yes,Yes,Yes,1.7km,Yes,3 Years,No,0.8 km,1.39,extra_large,238742
2910,296 sqm,289 sqm,5,4,Yes,Yes,Yes,Yes,2.2km,Yes,20 Years,No,5.7 km,4.52,large,243464
2911,230 sqm,230 sqm,4,4,Yes,No,No,Yes,2.7km,Yes,17 Years,Yes,6.9 km,1.40,large,226383
2912,202 sqm,179 sqm,4,3,Yes,Yes,Yes,Yes,4.1km,Yes,14 Years,No,0.1 km,3.45,large,191186
2913,416 sqm,363 sqm,7,6,Yes,Yes,Yes,Yes,5.1km,Yes,16 Years,No,6.8 km,4.24,large,330862
2914,451 sqm,401 sqm,8,9,Yes,Yes,Yes,Yes,4.4km,Yes,21 Years,No,0.7 km,1.87,large,382247
2915,226 sqm,218 sqm,3,2,Yes,No,Yes,No,4.4km,No,12 Years,No,5.5 km,1.81,extra_large,152001
2916,199 sqm,183 sqm,3,2,Yes,Yes,No,Yes,1.1km,Yes,17 Years,No,5.4 km,0.58,large,184505
2917,572 sqm,461 sqm,8,6,Yes,Yes,Yes,Yes,2.9km,Yes,6 Years,No,3.2 km,4.38,large,464131
2918,214 sqm,186 sqm,3,2,No,Yes,Yes,No,5.8km,No,22 Years,No,5.5 km,3.79,extra_large,147941
2919,255 sqm,241 sqm,5,4,Yes,Yes,Yes,Yes,1.2km,Yes,6 Years,No,5.2 km,0.53,large,246815
2920,597 sqm,542 sqm,7,7,Yes,Yes,Yes,Yes,2.6km,Yes,16 Years,No,5.4 km,0.08,extra_large,465234
2921,296 sqm,259 sqm,4,4,No,Yes,Yes,Yes,0.5km,No,13 Years,No,2.7 km,4.55,large,232358
2922,292 sqm,257 sqm,4,4,No,Yes,Yes,No,6.7km,Yes,1 Years,No,5.8 km,0.57,extra_large,230459
2923,149 sqm,135 sqm,2,1,No,Yes,No,No,4.5km,No,12 Years,No,5.3 km,3.26,extra_large,92769
2924,290 sqm,284 sqm,4,2,No,Yes,No,Yes,1.2km,Yes,14 Years,No,3.9 km,5.05,large,233826
2925,291 sqm,267 sqm,4,2,Yes,Yes,Yes,No,3.1km,Yes,20 Years,No,2.8 km,3.42,medium,219204
2926,240 sqm,223 sqm,5,5,Yes,Yes,Yes,Yes,0.3km,Yes,8 Years,Yes,6.5 km,4.83,large,242763
2927,232 sqm,232 sqm,5,5,Yes,Yes,Yes,Yes,3.2km,Yes,12 Years,No,1.9 km,1.17,medium,207944
2928,568 sqm,518 sqm,7,5,Yes,Yes,Yes,Yes,6.1km,Yes,8 Years,No,4.8 km,1.90,large,458287
2929,255 sqm,230 sqm,5,4,Yes,Yes,Yes,Yes,2.9km,Yes,1 Years,Yes,4.6 km,0.50,medium,256245
2930,247 sqm,231 sqm,4,4,Yes,Yes,Yes,Yes,1.4km,Yes,20 Years,No,5.3 km,3.97,medium,203473
2931,231 sqm,221 sqm,3,2,No,No,No,No,4.7km,Yes,9 Years,No,2.1 km,5.56,large,148740
2932,279 sqm,263 sqm,4,3,Yes,Yes,Yes,Yes,5.3km,Yes,4 Years,No,2.1 km,2.41,medium,239151
2933,339 sqm,326 sqm,5,5,Yes,Yes,Yes,Yes,3.1km,Yes,3 Years,No,0.5 km,4.03,large,292839
2934,294 sqm,277 sqm,5,3,Yes,Yes,Yes,Yes,2.8km,Yes,1 Years,No,6.7 km,2.67,large,271145
2935,223 sqm,205 sqm,3,2,Yes,No,Yes,No,3.2km,No,15 Years,No,0.1 km,1.45,extra_large,166237
2936,171 sqm,150 sqm,3,4,No,No,Yes,No,5.9km,Yes,20 Years,No,2.1 km,4.31,large,120224
2937,285 sqm,284 sqm,4,4,Yes,Yes,Yes,Yes,2.5km,Yes,15 Years,Yes,3.2 km,3.65,medium,262904
2938,323 sqm,322 sqm,5,5,Yes,No,Yes,Yes,6.9km,No,10 Years,No,2.8 km,1.27,extra_large,236645
2939,238 sqm,217 sqm,4,5,Yes,Yes,Yes,Yes,2.8km,No,2 Years,No,2.9 km,5.93,medium,186850
2940,252 sqm,226 sqm,4,3,Yes,Yes,No,Yes,4.7km,Yes,11 Years,No,3.3 km,0.74,large,216636
2941,324 sqm,278 sqm,5,3,Yes,Yes,No,No,6.6km,Yes,12 Years,No,6.6 km,5.24,large,238937
2942,661 sqm,537 sqm,8,8,Yes,Yes,Yes,Yes,6.1km,Yes,19 Years,No,3.3 km,1.46,large,514819
2943,280 sqm,246 sqm,4,2,Yes,Yes,Yes,Yes,5.9km,Yes,4 Years,No,4.3 km,3.55,medium,245560
2944,289 sqm,272 sqm,5,4,Yes,Yes,Yes,Yes,0.5km,Yes,1 Years,No,3.6 km,2.76,medium,264833
2945,237 sqm,232 sqm,3,4,No,No,No,Yes,6.3km,No,1 Years,No,6.9 km,0.16,extra_large,173065
2946,194 sqm,186 sqm,3,2,Yes,Yes,No,No,0.1km,Yes,10 Years,Yes,0.6 km,0.59,extra_large,199446
2947,258 sqm,248 sqm,4,2,Yes,Yes,Yes,Yes,2.4km,Yes,10 Years,No,6.9 km,4.96,medium,211433
2948,436 sqm,411 sqm,7,4,Yes,Yes,Yes,Yes,0.9km,Yes,17 Years,No,2.3 km,5.43,extra_large,324680
2949,141 sqm,140 sqm,2,2,No,No,No,Yes,2.1km,Yes,7 Years,No,1.2 km,2.78,extra_large,119798
2950,190 sqm,190 sqm,3,4,Yes,No,Yes,No,3.7km,Yes,3 Years,No,5.2 km,0.74,large,162166
2951,266 sqm,254 sqm,5,5,Yes,Yes,Yes,No,5.3km,Yes,3 Years,No,4.8 km,3.17,large,206584
2952,188 sqm,165 sqm,3,2,No,Yes,Yes,No,1.8km,No,17 Years,No,4.8 km,2.53,medium,134557
2953,133 sqm,127 sqm,1,1,Yes,No,No,No,5.5km,No,7 Years,No,2.2 km,5.50,medium,66800
2954,233 sqm,208 sqm,5,5,Yes,Yes,Yes,Yes,0.5km,Yes,5 Years,No,2.7 km,0.48,extra_large,231696
2955,133 sqm,125 sqm,2,3,No,Yes,No,No,0.2km,Yes,16 Years,No,0.5 km,1.05,small,131514
2956,238 sqm,219 sqm,5,3,No,Yes,Yes,Yes,3.9km,Yes,14 Years,No,0.5 km,3.15,extra_large,199877
2957,138 sqm,128 sqm,1,2,Yes,Yes,No,No,0.8km,No,8 Years,No,4.5 km,5.79,small,90425
2958,124 sqm,118 sqm,1,2,Yes,No,No,No,6.9km,No,10 Years,No,6.8 km,5.73,medium,57726
2959,201 sqm,183 sqm,4,4,Yes,Yes,Yes,Yes,2.5km,Yes,12 Years,No,3.5 km,1.60,medium,197132
2960,192 sqm,170 sqm,4,5,Yes,Yes,Yes,Yes,3.3km,No,7 Years,No,6.4 km,2.07,medium,164197
2961,281 sqm,270 sqm,5,2,Yes,Yes,Yes,No,4.9km,Yes,6 Years,No,2.7 km,4.57,extra_large,205758
2962,279 sqm,279 sqm,5,3,Yes,No,Yes,Yes,3.8km,Yes,7 Years,No,0.6 km,3.71,extra_large,232209
2963,106 sqm,91 sqm,1,2,No,No,No,No,6.2km,No,17 Years,No,5.8 km,4.53,medium,53720
2964,112 sqm,100 sqm,1,2,No,Yes,No,No,2.7km,No,6 Years,No,0.2 km,3.05,small,87761
2965,188 sqm,162 sqm,2,3,No,Yes,No,No,4.8km,No,1 Years,No,6.1 km,4.12,small,119264
2966,211 sqm,189 sqm,3,2,No,No,No,No,2.3km,No,8 Years,No,0.3 km,5.10,extra_large,126905
2967,235 sqm,216 sqm,4,2,No,Yes,Yes,No,3.8km,Yes,21 Years,No,4.1 km,3.08,extra_large,174424
2968,162 sqm,150 sqm,2,2,No,Yes,No,No,5.5km,No,3 Years,No,1.2 km,4.51,small,104746
2969,123 sqm,109 sqm,1,1,No,Yes,No,No,4.9km,No,6 Years,No,1.1 km,5.10,medium,76782
2970,324 sqm,307 sqm,5,4,Yes,Yes,Yes,Yes,0.2km,Yes,21 Years,Yes,1.9 km,0.50,extra_large,321756
2971,338 sqm,331 sqm,6,5,Yes,Yes,Yes,Yes,5.8km,Yes,7 Years,No,3.6 km,0.42,large,296590
2972,183 sqm,171 sqm,3,2,No,Yes,No,Yes,6.5km,No,3 Years,No,3.2 km,2.84,large,146795
2973,234 sqm,220 sqm,4,5,Yes,Yes,Yes,Yes,4.6km,Yes,11 Years,No,1.4 km,5.11,medium,198310
2974,190 sqm,185 sqm,2,1,No,No,No,Yes,4.1km,No,17 Years,No,5.9 km,4.96,large,126419
2975,237 sqm,220 sqm,3,2,No,Yes,No,No,4.6km,Yes,7 Years,No,4.2 km,5.88,medium,162373
2976,286 sqm,253 sqm,5,3,Yes,Yes,Yes,Yes,0.5km,Yes,14 Years,No,3.8 km,3.76,extra_large,246980
2977,257 sqm,232 sqm,5,5,Yes,Yes,Yes,Yes,4.4km,No,11 Years,No,3.5 km,4.89,medium,197204
2978,402 sqm,354 sqm,7,5,Yes,Yes,Yes,Yes,1.1km,Yes,7 Years,Yes,4.4 km,4.55,extra_large,358098
2979,327 sqm,323 sqm,5,3,Yes,No,Yes,Yes,2.5km,Yes,6 Years,No,4.6 km,4.50,medium,256102
2980,171 sqm,146 sqm,2,2,Yes,Yes,Yes,No,6.2km,No,18 Years,No,6.5 km,4.70,extra_large,105511
2981,230 sqm,202 sqm,4,2,Yes,Yes,Yes,Yes,6.6km,Yes,16 Years,No,2.1 km,5.26,medium,193905
2982,418 sqm,361 sqm,6,4,Yes,Yes,Yes,Yes,2.3km,Yes,13 Years,No,3.8 km,0.99,extra_large,347802
2983,232 sqm,222 sqm,3,1,No,Yes,Yes,No,5.2km,No,4 Years,Yes,6.9 km,1.18,extra_large,189131
2984,230 sqm,211 sqm,4,3,Yes,Yes,Yes,Yes,4.4km,Yes,1 Years,No,2.1 km,5.45,large,199069
2985,474 sqm,434 sqm,7,6,Yes,Yes,Yes,Yes,3.6km,Yes,18 Years,No,4.4 km,3.65,large,368495
2986,309 sqm,275 sqm,4,4,Yes,Yes,Yes,Yes,3.7km,Yes,1 Years,No,6.3 km,5.14,large,259700
2987,230 sqm,212 sqm,4,4,Yes,Yes,Yes,No,2.5km,Yes,4 Years,No,3.9 km,2.19,medium,191702
2988,269 sqm,250 sqm,5,4,Yes,Yes,Yes,Yes,4.2km,Yes,5 Years,No,3.4 km,0.32,extra_large,243368
2989,427 sqm,396 sqm,6,6,Yes,Yes,Yes,Yes,1.6km,Yes,14 Years,No,4.6 km,4.85,extra_large,339984
2990,169 sqm,159 sqm,2,3,Yes,Yes,No,Yes,6.2km,No,11 Years,No,4.9 km,0.22,small,131656
2991,284 sqm,276 sqm,5,4,Yes,Yes,Yes,Yes,3.8km,Yes,8 Years,No,6.7 km,5.61,medium,228137
2992,360 sqm,357 sqm,5,3,Yes,No,Yes,Yes,2.7km,Yes,12 Years,No,3.5 km,0.34,extra_large,295372
2993,148 sqm,130 sqm,1,2,Yes,No,No,No,4.9km,No,2 Years,No,2.6 km,3.15,medium,99444
2994,169 sqm,145 sqm,3,4,Yes,No,No,Yes,2.7km,Yes,2 Years,No,4.6 km,5.76,large,137995
2995,229 sqm,222 sqm,3,1,Yes,Yes,No,Yes,2.9km,No,21 Years,No,5.7 km,0.62,large,184011
2996,291 sqm,259 sqm,4,5,Yes,Yes,Yes,Yes,1.5km,Yes,15 Years,No,5.8 km,5.74,large,243769
2997,216 sqm,191 sqm,4,3,Yes,Yes,Yes,Yes,2.6km,Yes,2 Years,No,5.2 km,3.23,medium,197706
2998,203 sqm,191 sqm,4,2,Yes,Yes,No,Yes,5.1km,Yes,13 Years,No,6.3 km,0.15,extra_large,172113
2999,213 sqm,194 sqm,3,3,No,Yes,No,No,1.2km,Yes,4 Years,No,3.6 km,3.55,extra_large,158811
3000,294 sqm,273 sqm,5,5,Yes,Yes,Yes,No,2.8km,Yes,6 Years,No,0.3 km,2.96,large,260365
3001,330 sqm,288 sqm,5,2,Yes,Yes,Yes,Yes,2.2km,Yes,13 Years,No,3.2 km,5.93,extra_large,268489
3002,264 sqm,245 sqm,5,2,Yes,Yes,No,Yes,5.4km,Yes,11 Years,No,0.5 km,1.43,extra_large,218986
3003,110 sqm,104 sqm,1,1,Yes,No,No,No,5.5km,No,9 Years,No,2.7 km,2.18,small,68157
3004,244 sqm,237 sqm,5,2,Yes,Yes,Yes,Yes,5.1km,Yes,9 Years,No,2.5 km,0.74,large,219311
3005,398 sqm,360 sqm,6,7,Yes,Yes,Yes,Yes,1.7km,Yes,12 Years,No,3.2 km,4.99,large,320560
3006,297 sqm,270 sqm,4,5,Yes,Yes,Yes,Yes,0.8km,Yes,21 Years,No,4.1 km,0.54,extra_large,261124
3007,126 sqm,121 sqm,1,1,No,No,No,No,6.9km,No,19 Years,No,4.8 km,0.19,medium,79388
3008,446 sqm,369 sqm,8,9,Yes,Yes,Yes,Yes,4.3km,Yes,4 Years,No,2.8 km,4.48,extra_large,364786
3009,174 sqm,152 sqm,2,1,Yes,Yes,No,Yes,2.6km,No,2 Years,No,4.3 km,0.94,small,152517
3010,360 sqm,319 sqm,6,6,Yes,Yes,Yes,Yes,4.9km,Yes,19 Years,No,3.1 km,2.33,large,293935
3011,396 sqm,358 sqm,6,6,Yes,Yes,Yes,Yes,3.6km,Yes,17 Years,No,2.5 km,3.60,extra_large,311763
3012,215 sqm,184 sqm,3,2,No,Yes,No,Yes,4.7km,Yes,11 Years,No,3.8 km,4.62,large,166719
3013,222 sqm,207 sqm,3,3,Yes,No,No,No,1.9km,Yes,9 Years,No,1.5 km,3.26,large,178607
3014,215 sqm,204 sqm,3,1,No,Yes,No,No,4.1km,No,20 Years,No,1.5 km,3.03,large,148442
3015,241 sqm,235 sqm,4,2,Yes,Yes,No,Yes,3.6km,No,16 Years,No,5.2 km,4.39,medium,169670
3016,213 sqm,192 sqm,3,3,No,No,No,Yes,2.7km,No,3 Years,No,0.6 km,0.49,large,172576
3017,224 sqm,221 sqm,3,1,Yes,No,No,No,5.2km,Yes,10 Years,No,4.6 km,3.44,extra_large,155042
3018,327 sqm,326 sqm,5,2,Yes,Yes,Yes,Yes,6.2km,Yes,13 Years,No,5.6 km,4.99,extra_large,245909
3019,256 sqm,244 sqm,5,3,Yes,Yes,Yes,No,4.1km,Yes,19 Years,No,1.4 km,2.82,medium,191144
